負荷条件,電線サイズ,,過電流遮断器定格電流,,,
"IL=30〔A〕
上表E","Ip≧30〔A〕
8mm2以上
（*P=42A）",,"IN≦40〔A〕
IN＞30",,IN=40A,
,,,,,,
"IL=80〔A〕
上表F","Ip≧80〔A〕
22mm2以上
（*P=80A）",,IN＞80,IN≦104〔A〕,IN=100A,
,,,,,,
"ΣIM=30〔A〕
上表G","8mm2以上
（*P=42A）",Ip≧37.5〔A〕,IN＞30,IN≦105〔A〕,IN=100A,
,,,,,,
"ΣIM=150〔A〕
上表H","Ip≧165〔A〕
100mm2以上
（*P=208A）",,IN＞150,IN≦520〔A〕,IN=500A,
,,,,,,
,,,,,,
