負荷条件,,電線サイズ,,過電流遮断器定格電流,,
,ΣIL=175〔A〕,Ip≧175〔A〕,,IN≦208〔A〕,,IN=200A
上表A,ΣIL=175〔A〕,"100mm2以上
（IP=208A）
Ip≧225〔A〕",,"IN＞175
IN≦325〔A〕",,IN＞250A
,,,,,,
"上表B
ΣIL=20〔A〕","ΣIM=50〔A〕
ΣIM=40〔A〕","150mm2以上
（*P=276A）
Ip≧70〔A〕
22mm2以上",,"IN＞225
IN≦140〔A〕
IN＞60",,IN＞75A
,,,,,,
"上表C
ΣIL=20〔A〕",ΣIM=80〔A〕,"（IP=80A）
Ip≧108〔A〕
60mm2以上",,"IN≦260〔A〕
IN＞100",,IN＞125A
,,,,,,
上表D,電線は600Vビニル絶縁電線管内3本配線工事の場合（周囲温度30℃）,（IP=152A）,,,,
,,,,,,
