●抵抗溶接機に対する MCCB の適用例,,,,,,
,,,,,,
抵抗溶接機,,,,MCCB 最小定格〔A〕,,
"定格容量例
〔kVA〕",〔kVA〕,標準最大入力例,単相 200V,,単相 400V,4
,,,,,,
,,,,,,
15,35,,100,,50,
,,,,,,
30,65,,125,,100,
55,140,,225,,125,
