配線用遮断器・漏電遮断器の選定,"電磁
接触器",（a）AC200-230V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,サーマル,,,電動機定格,,,,短絡容量  (kA),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,リレー,,,出力 電流 始動,,,電流,2.5,,5,,10,,25,,,36,,50,,,85,,,90,,100,,125,,,,
,"形式
SC-4-0",形式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,(kW),,(A),,(A),形式,(A) 形式,,(A),形式,(A) 形式,,,(A),"形式
BW125JAK",(A),形式,(A),50,形式,BW125RAK,(A),形式,(A),形式,(A),"形式
50 BW125HAK",,,"(A)
50",
,,TK-N2H,,,5.5,,21,203,BW50AAG,50,BW50EAG,50,BW50SAG,50,BW50RAG,,50,,,,,,,,,,,,,,,,,
,"SC-N1
SC-N2
SC-N2S",,,,7.5 27.5,,,258,BW63EAG,,,60,BW63SAG,60,BW63RAG,,60,,,,,50,,,,,,,50,,,,50,
,,TK-N3H,,,11,,40,380,,,,BW100AAG 100,,,,BW100EAG 100,,,,,,75,,,,,,,75,,,,75,
,,,,,15,,54,516,,,,,,,,BW100EAK 100,,,,,,100,,,,,,,100,,,,100,
,,,,,18.5,,68,548,,,,,,,,,100,,,,,100,,,,,,,100,,,,100,
,,,,,,,84,"670
921",,,,,,,,,,,BW250EAK 125,,BW250JAK 125,,,,,,,,BW250RAK 125 BW250HAK 125,,,,,
,"SC-N3
SC-N4",,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,175,,,175,,,,,,,175,,,,175,
,,TK-N6H,,,30,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SC-N5A
SC-N6
SC-N7",,,,37,,137 1170,,,,,,,,,,,,225,,BW400EAG 350 BW400SAG 350,225,,,,,,,"225
BW400RAG 350 BW400HAG 350",,,,225,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TK-N10H,,,45,,166 1380,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,55,,"200 1900
270 2430",,,,,,,,,,,,,,BW630EAG 500,,,,,,,,BW630RAG 500 BW630HAG 500,,,,,
,"SC-N8
SC-N10
SC-N11",TK-N12H,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,600,,,,,,,600,,,,600,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,90,,320 3040,,BX630RAE 570,,,,,,,,,,,,,,,,,,,,BX630HAE 570,,,,,
,,,,,110,,"380 3800
452 4520",,,,,,,,,,,,,,,,,,,,BX800RAE 480,,BX800HAE 480,,,,,
,,SC-N12 TK-N14H,,,132,,,,,,,,,,,,,,,,,,,,,,640,,640,,,,,
