"● DC ブレーカラインアップ
定格電圧",,,,,,,,,,,,,,,,,,,,,
,,,,,アンペアフレーム,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"DC
注）形式末尾に「C2」、「C4」、「C5」、「C6」などの DC 専用形式記号が入っていないものは、標準品で AC/DC 共用です。
DC 定格は DC250V のみ表示しています（BW32SBG、BW50SBG、BW63SBG は DC125V 表示）。
DC回路用に調整したものは、形式末尾に「C2」（DC250V定格）、「C4」（DC400V定格）、「C5」（DC500V定格）、「C6」（DC600V定格）と指定してください。",,125V,,25/32,,50,,63,,100/125,160,200/250,,400,,630,,,800,,
,,,,BW32SBG,,BW50SBG,,BW63SBG,,,,,,,,,,,,,
,,,,10/10,,10/10,,10/10,,,,,,,,,,,,,
,,250V,,,,BW50EAG,,"BW63EAG
BW63EAQ",,BW100EAG,,,BW250EAG,,BW400EAG,BW630EAG,,,BW800EAG,,
,,,,,,C2,,C2,,C2,,,,,,,,,,,
,,,,,,2.5/2,,2.5/2,,5/3,,,10/5,,20/10,20/10,,,20/10,,
,,,,"BW32SAG
BW32SAQ",,"BW50SAG
BW50SAQ",,"BW63SAG
BW63SAQ",,"BW125JAG
BW125JAQ□C2",,,"BW250JAG
BW250JAQ□C2",,BW400SAG,,,,,,
,,,,"C2
2.5/2",,"C2
5/3",,"C2
5/3",,15/8,,,20/10,,20/10,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,"BW50RAG
C2",,"BW63RAG
C2",,"BW125RAG
BW125RAQ□C2",,,"BW250RAG
BW250RAQ□C2",,"BW400RAG
BW400RAQ□C2","BW630RAG
BW630RAQ□C2",,,BW800RAG,BW800RAQ□C2,
,,,,,,5/3,,5/3,,40/20,,,30/15,,40/20,40/20,,,40/20,,
,,,,,,BW50HAG,,,,BW125HAG,,,BW250HAG,,"BW400HAG
BW400HAQ□C2","BW630HAG
BW630HAQ□C2",,,BW800HAG,BW800HAQ□C2,
,,,,,,40/20,,,,40/20,,,40/20,,40/20,40/20,,,40/20,,
,,,,,,,,,,,,,,,,,,,,,
,,400V,,"BW32SAG
-3P　C4",,"BW50SAG
-3P　C4",,"BW63SAG
-3P　C4",,"BW100EAG
-3P　C4",,,,,,,,,,,
,,,,2.5/-,,2.5/-,,2.5/-,,5/-,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,"BW50SBG
-2P　C4
10/-",,"BW63SBG
-2P　C4
10/-",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,500V,,,,,,,,,,,,,BW400EAG,BW630EAG,,,BW800EAG,,
,,,,,,,,,,,,,,,"-3P
20/-",,,"-3P
20/-","-3P
20/-",,
,,,,,,,,,,BW125JAG,,,BW250JAG,,BW400SAG,,,,,,
,,,,,,,,,,"-3P C5
10/-",,,"-3P　C5
10/-",,"-3P
20/-",,,,,,
,,,,,,,,,,BW125RAG,,,BW250RAG,,BW400RAG,BW630RAG,,,BW800RAG,,
,,,,,,,,,,"-3P　C5
20/-",,,"-3P　C5
20/-",,"-3P
40/-",,,"-3P
40/-","-3P
40/-",,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"BW400HAG
-3P",BW630HAG,,-3P,"BW800HAG
-3P",,
,,,,,,,,,,,,,,,40/-,,,40/-,40/-,,
,,600V,,,,,,,,BW125JAG,,,BW250JAG,,,,,,,,
,,,,,,,,,,-3P CP,,,-3P CP,,,,,,,,
,,,,,,,,,,3/-,,,3/-,,,,,,,,
,,,,,,BW 50SBG,,BW 63SBG,,BW 125RAG,,,BW 250JAG,,BW 400RAG,BW 630RAG,,,BW 800RAG,,
,,,,,,-3P C6,,-3P C6,,-4P C6,,,-4P C6,,-4P,,,-4P,-4P,,
,,,,,,10/-,,10/-,,25/-,,,25/-,,40/-,,,40/-,40/-,,
,,,,,,,,,,,,,BW 250RAG,,BW 400HAG,BW 630HAG,,,BW 800HAG,,
,,,,,,,,,,,,,-4P C6,,-4P,,,-4P,-4P,,
,,,,,,,,,,,,,40/-,,40/-,,,40/-,40/-,,
,,650V,,C60PV-DC,,"※最大定格
25A",,,,,,,,,,,,,,,
,,,,3/3,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,750V,,,,,,,,NSX100DC,NSX160DC,,NSX250DC,,"BW 400RAG   
-3P CP","BW 630RAG    
-3P CP",,,"BW 800RAG
-3P CP",,
,,,,,,,,,,100/100,100/100,,100/100,,10/5,10/5,,,10/5,,
,,800V,,C60PV-DC,,"※最大定格
25A",,,,,,,,,,,,,,,
,,,,1.5/1.5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,1000V,,,,,,,,NSX100DC,NSX160DC,,NSX200DC,,"BW 400RAG   
-4P CP","BW 630RAG    
-4P CP",,,"BW 800RAG
-4P CP",,
,,,,,,,,,,10/5,10/5,,10/5,,5/5,,,5/5,5/5,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,上段：形式,,,
,,,,,,,,,,,,,,,,,,下段：遮断容量 Icu/Ics(kA),,,
,,,,,,,,,,,,,,,,,,,,,
