● AC230V,,,,,,,,,,,,,,,,,,,,,
,,,［単位：kA］,,,,,,,,,,,,,,,,,,
,,上位ブレーカ形式,,BX100HAE,,,,BX160HAE,,BX250HAE,BX400HAE,BX630HAE,,BX800HAE,,BX1000HAE,,BX1250HAE,,BX1600HAE,
,,,,,,,,,,,,,,,,,,,,,
,,保護特性,,,3 元特性（長限時−短限時−瞬時）,,,,,,,,,,,,,,,,
,,定格電流 In  [A],,,40,,100,,160,250,400,,630,,800,,1000,,1250,,1600
,,コントロールユニット,,,5,,5,,5,5,5,,5,,5,,5,,5,,5
下位ブレーカ形式,,定格遮断容量  [kA]  (sym),,,100,,100,,100,100,100,,100,,85,,85,,85,,85
□ W32AAG,□ W50AAG,2.5,,,0.5,,1.2,,2.0,2.5,2.5,,2.5,,2.5,,2.5,,2.5,,2.5
"EW32EAG
配線用遮断器・漏電遮断器の選定",,2.5,,,0.5,,1.2,,2.0,2.5,2.5,,2.5,,2.5,,2.5,,2.5,,2.5
□ W50EAG,□ W63EAG,5,,,0.5,,1.2,,2.0,2.5,4.0,,5,,5,,5,,5,,5
,,,,,,,,,,,,,,,,,,,,,
□ W100AAG,,5,,,,,1.2,,2.0,2.5,4.0,,5,,5,,5,,5,,5
,,,,,,,,,,,,,,,,,,,,,
□ W100EAG,,25,,,,,1.2,,2.0,2.5,4.0,,5.8,,25,,25,,25,,25
,,,,,,,,,,,,,,,,,,,,,
"□ W250EAG
□ W400EAG",,"36
50",,,,,,,2.0,2.5,"4.0
4.0",,"5.8
5.8",,"36
50",,"36
50",,"36
50",,"36
50"
,,,,,,,,,,,,,,,,,,,,,
□ W630EAG,,50,,,,,,,,,,,5.8,,50,,50,,50,,50
,,,,,,,,,,,,,,,,,,,,,
□ W800EAG,,50,,,,,,,,,,,,,50,,50,,50,,50
,,,,,,,,,,,,,,,,,,,,,
□ W32SAG,,5,,,0.5,,1.2,,2.0,2.5,4.0,,5,,5,,5,,5,,5
□ W50SAG,□ W63SAG,10,,,0.5,,1.2,,2.0,2.5,4.0,,5.8,,10,,10,,10,,10
□ W125JAG,,50,,,0.5,,1.2,,2.0,2.5,4.0,,5.8,,50,,50,,50,,50
□ W250JAG,,50,,,,,,,2.0,2.5,4.0,,5.8,,50,,50,,50,,50
□ W400SAG,,85,,,,,,,,,4.0,,5.8,,85,,85,,85,,85
□ W50RAG,□ W63RAG,25,,,0.5,,1.2,,2.0,2.5,4.0,,5.8,,25,,25,,25,,25
,,,,,,,,,,,,,,,,,,,,,
□ W125RAG,,100,,,0.5,,1.2,,2.0,2.5,4.0,,5.8,,85,,85,,85,,85
,,,,,,,,,,,,,,,,,,,,,
□ W250RAG,,100,,,,,,,2.0,2.5,4.0,,5.8,,85,,85,,85,,85
,,,,,,,,,,,,,,,,,,,,,
"□ W400RAG
□ W630RAG",,"100
100",,,,,,,,,4.0,,5.8,,"85
85",,"85
85",,"85
85",,"85
85"
,,,,,,,,,,,,,,,,,,,,,
□ W800RAG,,100,,,,,,,,,,,,,85,,85,,85,,85
,,,,,,,,,,,,,,,,,,,,,
□ W50HAG,,125,,,0.5,,1.2,,2.0,2.5,4.0,,5.8,,85,,85,,85,,85
,,,,,,,,,,,,,,,,,,,,,
□ W125HAG,,125,,,0.5,,1.2,,2.0,2.5,4.0,,5.8,,85,,85,,85,,85
□ W250HAG,,125,,,,,,,2.0,2.5,4.0,,5.8,,85,,85,,85,,85
□ W400HAG,,125,,,,,,,,,,,5.8,,85,,85,,85,,85
□ W630HAG,,125,,,,,,,,,,,5.8,,85,,85,,85,,85
□ W800HAG,,125,,,,,,,,,,,,,85,,85,,85,,85
BX100HAE,,100,,,85,,85,,85,85,85,,85,,85,,85,,85,,85
,,,,,,,,,,,,,,,,,,,,,
BX160HAE,,100,,,,,,,85,85,85,,85,,85,,85,,85,,85
,,,,,,,,,,,,,,,,,,,,,
BX250RAE,,90,,,,,,,,85,85,,85,,85,,85,,85,,85
,,,,,,,,,,,,,,,,,,,,,
BX250HAE,,100,,,,,,,,85,85,,85,,85,,85,,85,,85
,,,,,,,,,,,,,,,,,,,,,
"BX400RAE
BX400HAE",,"85
100",,,,,,,,,"85
85",,"85
85",,"85
85",,"85
85",,"85
85",,"85
85"
,,,,,,,,,,,,,,,,,,,,,
BX630RAE,,85,,,,,,,,,,,85,,85,,85,,85,,85
,,,,,,,,,,,,,,,,,,,,,
BX630HAE,,100,,,,,,,,,,,85,,85,,85,,85,,85
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
