"大きさ
定格電圧
フレーム","100W
100V",200V,"150W
100V",200V,"200W
100V",200V,"250W
100V",200V,"300W
100V",200V,"500W
100V",200V,"1000W
100V",200V,"1500W
100V",200V
,,,,,,,,,,,,,,,,
T10,11,22,7,14,5,11,4,8,3,7,2,4,1,2,－,1
T12,13,26,8,17,6,13,5,10,4,8,2,5,1,2,－,1
T20,18,36,12,24,9,18,7,14,6,12,3,7,1,3,1,2
T21,20,40,13,26,10,20,8,16,6,13,4,8,2,4,1,2
T25,26,52,17,34,13,26,10,20,8,17,5,10,2,5,1,3
T32,32,64,21,42,16,32,12,25,10,21,6,12,3,6,2,4
T35,35,70,23,46,17,35,14,28,11,23,7,14,3,7,2,4
T50,50,100,33,66,25,50,20,40,16,33,10,20,5,10,3,6
