電圧,"モータ出力
（kW）","適用インバータ形名
（ND定格）",入力側電磁接触器　（注1）,,推奨電線サイズ(mm2)　（注2）,,
,,,"力率改善(AC又はDC)
リアクトル接続",,R/L1、S/L2、T/L3,,Ｕ、Ｖ、Ｗ
,,,,,"力率改善(AC又はDC)
リアクトル接続",,
,,,無,有,無,有,
"三相200V
クラス",0.1,FR-D820-0.1K-008,S-T10,S-T10,2,2,2
,0.2,FR-D820-0.2K-014,S-T10,S-T10,2,2,2
,0.4,FR-D820-0.4K-025,S-T10,S-T10,2,2,2
,0.75,FR-D820-0.75K-042,S-T10,S-T10,2,2,2
,1.5,FR-D820-1.5K-070,S-T10,S-T10,2,2,2
,2.2,FR-D820-2.2K-100,S-T10,S-T10,2,2,2
,3.7,FR-D820-3.7K-165,S-T21,S-T10,3.5,3.5,3.5
,5.5,FR-D820-5.5K-238,S-T35,S-T21,5.5,5.5,5.5
,7.5,FR-D820-7.5K-318,S-T35,S-T35,14,8,8
"三相400V
クラス",0.4,FR-D840-0.4K-012,S-T10,S-T10,2,2,2
,0.75,FR-D840-0.75K-022,S-T10,S-T10,2,2,2
,1.5,FR-D840-1.5K-037,S-T10,S-T10,2,2,2
,2.2,FR-D840-2.2K-050,S-T10,S-T10,2,2,2
,3.7,FR-D840-3.7K-081,S-T10,S-T10,2,2,2
,5.5,FR-D840-5.5K-120,S-T21,S-T12,3.5,2,2
,7.5,FR-D840-7.5K-163,S-T21,S-T21,3.5,3.5,3.5
