N120,,KP,,
,,,,
リセット方式,,,,
記号無し,,,手動リセット式(標準仕様),
AR,,,自動リセット式,
サーマルリレーの種類,,,,
記号無し,,,2素子,
KP,,,3素子(2E),
SR,,,2素子飽和リアクトル付,
KPSR,,,3素子(2E)飽和リアクトル付,
