"適　用
フレーム",定　格　容　量[kW],,,,,
,AC-3級（標準責務）,,,AC-4級（寸動責務）,,
,200～220V,380～440V,500～550V,200～220V,380～440V,500～550V
T10,2.2,2.2,2.2,1.5,2.2,2.2
T12,2.2,3.7,5.5,2.2,3.7,5.5
T20,3.7,7.5,7.5,3.7,5.5,5.5
T21,3.7,7.5,7.5,3.7,5.5,5.5
T25,5.5,11,11,3.7,7.5,7.5
T32,7.5,15,11,5.5,11,7.5
T35,7.5,15,15,5.5,11,11
T50,11,22,22,7.5,15,15
T65,15,30,30,11,22,22
T80,18.5,37,45,15,30,30
T100,22,45,45,18.5,37,37
N125,30,55,55,22,45,45
N150,37,－,－,30,55,55
N180,45,－,－,37,－,－
N220,55,－,－,45,－,－
