"フレーム
機　種",非可逆式電磁接触器,,,,,,,可逆式電磁接触器(注2),,,,,,
,T10,T12,T32,T20,"T21～
T80","T100
N125","N150～
N800AB","2×T10
（注1）","2×T12
2×T20
（注1）","2×T32
（注4）","2×T21～
2×T80","2×T100
2×N125","2×N150～
2×N400","2×N600AB～
2×N800AB"
標　準,1a,1a1b,－,1a1b,2a2b,2a2b,2a2b,1a×2+2b,1a1b×2+2b,2a2b×2,2a2b×2,2a2b×2,3a3b×2,4a4b×2
特　殊,1b,2a（注5）,－,2a（注5）,－,－,－,1b×2+2b,2a×2+2b,－,－,－,－,－
"最　大
（注3）","5a
4a1b
3a2b","5a1b
4a2b
3a3b","4a
3a1b
2a2b","5a1b
4a2b
3a3b","6a2b
5a3b
4a4b",4a4b,4a4b,"5a×2+2b
4a1b×2+2b
3a2b×2+2b","5a1b×2+2b
4a2b×2+2b
3a3b×2+2b",－,"6a2b×2
5a3b×2
4a4b×2",3a3b×2,－,－
