"灯数
入力
ランプ形式
入力電流
フレーム","1
40W
FLP-40S
定格電圧 100V
0.45A","200V
0.24A","FLP-40S/36
100V
0.43A","200V
0.23A","110W
FLP-110H
100V
1.22A","200V
0.61A","FLP-110H/100
100V
1.12A","200V
0.56A","2
40W
FLP-40S
100V
0.88A","200V
0.44A","FLP-40S/36
100V
0.8A","200V
0.4A","110W
FLP-110H
100V
2.3A","200V
1.15A","FLP-110H/100
100V
2.2A","200V
1.10A"
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
T10,24,45,25,47,9,18,9,19,12,25,13,27,4,9,5,10
T12,28,54,30,56,10,21,11,23,14,29,16,32,5,11,5,11
T20,40,75,41,78,14,29,16,32,20,40,22,45,7,15,8,16
T21,44,83,46,86,16,32,17,35,22,45,25,50,8,17,9,18
T25,57,108,60,113,21,42,23,46,29,59,32,65,11,22,11,23
T32,71,133,74,139,26,52,28,57,36,72,40,80,13,27,14,29
T35,77,145,81,152,28,57,31,62,39,79,43,87,15,30,15,31
