始　動　法,始動時(スター用電磁接触器),,,,運転時(デルタ用電磁接触器),,
,始動電流,トルク,接点電流,接点電圧,全負荷電流,接点電流,接点電圧
じか入れ,6lm,1.5T,6lm,Em,lm,lm,Em
スターデルタ,2lm,0.5T,2lm,Em/･√3,lm,lm/･√3,Em
