"大きさ
フレーム","40W
定格電圧 100V
入力電流 0.6A 
/1.2A","200V
0.27 
/0.53A","80W
100V
1.1A 
/1.9A","200V
0.5A 
/0.8A","100W
100V
1.3A 
/2.4A","200V
0.64A 
/1A","200W
100V
2.6A 
/4.3A","200V
1.2A 
/1.9A","250W
100V
3A 
/4.8A","200V
1.5A 
/2.1A","300W
100V
3.6A 
/5.5A","200V
1.75A 
/2.5A","400W
100V
4.9A 
/7.5A","200V
2.3A 
/3.3A","700W
100V
8.5A 
/14A","200V
4.1A 
/5.9A","1000W
100V
12A 
/20A","200V
5.8A 
/8.3A"
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
T10,18/9,40/20,10/5,22/13,8/4,17/11,4/2,9/5,3/2,7/5,3/2,6/4,2/1,4/3,1/－,2/1,－/－,1/1
T12,,21/10 48/24,11/6,26/16,10/5,20/13,5/3,10/6,4/2,8/6,3/2,7/5,2/1,5/3,1/－,3/2,1/－,2/1
T20,,30/15 66/33,16/9,36/22,13/7,28/18,6/4,15/9,6/3,12/8,5/3,10/7,3/2,7/5,2/1,4/3,1/－,3/2
T21,,33/16 74/37 18/10 40/25,,,15/8,31/20,7/4,16/10,6/4,13/9,5/3,11/8,4/2,8/6,2/1,4/3,1/1,3/2
T25,,43/21 96/49 23/13 52/32 20/10 40/26,,,,,10/6,21/13,8/5,17/12,7/4,14/10,5/3,11/7,3/1,6/4,2/1,4/3
T32,,53/26 118/60 29/16 64/40 24/13 50/32,,,,,12/7,26/16,10/6,21/15,8/5,18/12,6/4,13/9,3/2,7/5,2/1,5/3
T35,,58/29 129/66 31/18 70/43 26/14 54/35,,,,,13/8,29/18,11/7,23/16,9/6,20/14,7/4,15/10,4/2,8/5,2/1,6/4
T50,,83/41 185/94 45/26 100/62 38/20 78/50 19/11 41/26 16/10 33/23,,,,,,,,,13/9,28/20,10/6,21/15,5/3,12/8,4/2,8/6
