形　名,瞬時入力[VA],,,,動作電圧[V],,,,動作時間[ms],,,
,交流操作,,直流操作,,交流操作,,直流操作,,交流操作,,直流操作,
,投　入,引外し,投　入,引外し,投　入,引外し,投　入,引外し,投　入,引外し,投　入,引外し
SL(D)-T21,80（注2）,110（注2）,40（注2）,150（注2）,150,95,127,112,15,10,20,9
SL(D)-T35/T50,120（注2）,150（注2）,100（注2）,150（注2）,140,110,115,85,20,14,18,11
SL(D)-T65/T80,120（注1）,250（注2）,120（注1）,200（注2）,130,85,120,75,23,11,18,13
SL(D)-T100,250（注1）,250（注1）,"250（注1）
(400)","300（注1）
(500)",130,95,115,90,30,15,29,18
SL(D)-N125,300（注1）,350（注1）,"350（注1）
(500)","350（注1）
(500)",120,85,110,80,30,14,26,17
SL(D)-N150,300（注1）,350（注1）,"350（注1）
(500)","350（注1）
(500)",140,89,130,85,35,14,31,17
SL(D)-N220,350（注1）,450（注1）,"450（注1）
(600)","500（注1）
(700)",125,99,110,90,35,18,31,17
SL(D)-N300、N400,400（注1）,800（注1）,"450（注1）
(600)","800（注1）
(1100)",143,112,125,95,50,17,50,17
SL(D)-N600AB、800AB,,1000（注1） 500（注1）,850（注1）,500（注1）,150,120,150,120,100,50,100,50
