ユニットの種類,
AX,追加補助接点
ML,機械的インタロック
SA,外付けサージ吸収器
HZ,サーマルリレー単体取付け用
SD,可逆用接続電線(導体)
SG,渡り用接続電線(導体)
SY,操作コイル用DC/ACインタフェース
