フレーム,定格使用電流（A）,,,,,,,,,,,,,,,,開放熱
,AC-15級（交流電磁石負荷）,,,,DC-13級（直流電磁石負荷）,,,,AC-12級（交流抵抗負荷）,,,,DC-12級（直流抵抗負荷）,,,,"電流
Ith[A]"
,,AC120V AC240V AC440V AC550V DC24V,,,,,DC48V DC110V DC220V AC120V AC240V AC440V AC550V DC24V,,,,,,,,DC48V DC110V DC220V,,
"T10～T100･
N125～N800AB",6,3,1.5,1.2,3,1.5,0.6,0.3,10,8,5,5,10,8,5,1,10
"T10JH～T100JH･
N125HM～N400HM",10(6),10(5),5(3),4(3),7[10],5,1.2,0.2,20,16,10,10,10,8,5,1,20
