電磁開閉器,,,,協調タイプ,,,,,,,
"電磁開閉器	
形式","電磁接触器	
形式",サーマルリレー,,タイプ1,,,,,,タイプ2,
,,形式,"ヒート
エレメント	
定格
〔A〕","短絡電流
Iq
〔ｋA〕",240V	（注1）,,"短絡電流
Iq
〔ｋA〕",440V,,"短絡電流
Iq
〔ｋA〕","240V,	440V"
,,,,,"富士オートブレーカ	BW□	
富士漏電遮断器	EW□",,,"富士オートブレーカ	BW□	
富士漏電遮断器	EW□",,,"ヒューズ	
(IEC60269-1	
gG/gM)	
定格〔A〕"
,,,,,形式,"定格
〔A〕",,形式,"定格
〔A〕",,
"SW09X□3
SW09X□K",SC09X,"TR18X3
TR18XK",0.34-0.52,15(10),"BW50SAG❶
EW50SAG❶
BW50SBG
EW50SBG",5,7.5(5),"BW50SAG❶
EW50SAG❶
BW50SBG
EW50SBG",5,65,4
,,,0.48-0.72,15(10),,5,7.5(5),,5,65,4
,,,0.64-0.96,15(10),,5,7.5(5),,5,65,4
,,,0.8-1.2,15(10),,5,7.5(5),,5,65,6
,,,0.95-1.45,15(10),,5,7.5(5),,5,65,6
,,,1.4-2.1,15(10),,5,7.5(5),,5,65,6
,,,1.7-2.6,15(10),,5,7.5(5),,5,65,6
,,,2.2-3.4,15,"BW50RAG
EW50RAG",10,7.5(5),,10,65,10
,,,2.8-4.2,15,,10,7.5(5),,10,65,10
,,,4-6,25,"BW125JAG
EW125JAG",20,14,"BW125JAG
EW125JAG",20,65,10
,,,5-7.5,25,,20,14,,20,65,20
,,,6-9,25,,20,14,,30,65,20
,,,7-10.5,25,,20,14,,30,65,20
"SW12X□3
SW12X□K",SC12X,"TR18X3
TR18XK",0.34-0.52,15(10),"BW50SAG❶
EW50SAG❶
BW50SBG
EW50SBG",5,7.5(5),"BW50SAG❶
EW50SAG❶
BW50SBG
EW50SBG",5,65,4
,,,0.48-0.72,15(10),,5,7.5(5),,5,65,4
,,,0.64-0.96,15(10),,5,7.5(5),,5,65,4
,,,0.8-1.2,15(10),,5,7.5(5),,5,65,6
,,,0.95-1.45,15(10),,5,7.5(5),,5,65,6
,,,1.4-2.1,15(10),,5,7.5(5),,5,65,6
,,,1.7-2.6,15(10),,5,7.5(5),,5,65,6
,,,2.2-3.4,15,"BW50RAG
EW50RAG",10,7.5(5),,10,65,10
,,,2.8-4.2,15,,10,7.5(5),,10,65,10
,,,4-6,25,"BW125JAG
EW125JAG",20,14,"BW125JAG
EW125JAG",20,65,10
,,,5-7.5,25,,20,14,,20,65,20
,,,6-9,25,,20,14,,30,65,20
,,,7-10.5,25,,20,14,,30,65,20
,,,9-13,25,,20,14,,30,65,25
"SW18X□3
SW18X□K",SC18X,"TR18X3
TR18XK",0.34-0.52,15(10),"BW50SAG❶
EW50SAG❶
BW50SBG
EW50SBG",5,7.5(5),"BW50SAG❶
EW50SAG❶
BW50SBG
EW50SBG",5,65,4
,,,0.48-0.72,15(10),,5,7.5(5),,5,65,4
,,,0.64-0.96,15(10),,5,7.5(5),,5,65,4
,,,0.8-1.2,15(10),,5,7.5(5),,5,65,6
,,,0.95-1.45,15(10),,5,7.5(5),,5,65,6
,,,1.4-2.1,15(10),,5,7.5(5),,5,65,6
,,,1.7-2.6,15(10),,5,7.5(5),,5,65,6
,,,2.2-3.4,15,"BW50RAG
EW50RAG",10,7.5(5),,10,65,10
,,,2.8-4.2,15,,10,7.5(5),,10,65,10
,,,4-6,25,"BW125JAG
EW125JAG",20,14,"BW125JAG
EW125JAG",20,65,10
,,,5-7.5,25,,20,14,,20,65,20
,,,6-9,25,,20,14,,30,65,20
,,,7-10.5,25,,20,14,,30,65,20
,,,9-13,25,,20,14,,30,65,25
,,,13-16.5,25,,30,14,,30,65,32
,,,15-18,25,,30,14,,30,65,63
