形式,"定格
絶縁電圧
〔V〕","開放熱電流
（定格通電流）
〔A〕","定格
使用電圧
〔V〕",定格使用電流〔A〕,,"定格
使用電圧
〔V〕",定格使用電流〔A〕,,"最小使用
電圧・電流"
,,,,"AC-15
（コイル負荷）","AC-12
（抵抗負荷）",,"DC-13 ❶
（コイル負荷）","DC-12
（抵抗負荷）",
"SC09
SC38
SC12
SC40
SC18
SC50
SC20
SC65
SC26
SCH4
SC32",690,10,AC 100～120,6,10,DC 24,3,5,"DC 5V, 3mA"
,,,AC 200～240,3,8,DC 48,1.5,3,
,,,AC 380～440,1.5,5,DC 110,0.55,2.5,
,,,AC 500～600,1.2,5,DC 220,0.27,1,
