形式,"定格
絶縁電圧
〔V〕","開放熱電流
（定格通電流）
〔A〕","定格
使用電圧
〔V〕",定格使用電流〔A〕,,"定格
使用電圧
〔V〕",定格使用電流〔A〕,,"最小使用
電圧・電流"
,,,,"AC-15
（コイル負荷）","AC-12
（抵抗負荷）",,"DC-13 ❶
（コイル負荷）","DC-12
（抵抗負荷）",
"SC09□H
SC38□H
SC12□H
SC40□H
SC18□H
SC50□H
SC20□H
SC65□H
SC26□H
SCH4□H
SC32□H",690,10,AC 100～120,6,10,DC 24,5,10,"DC 24V, 10mA"
,,,AC 200～240,6,10,DC 48,1.5,5,
,,,AC 380～440,4,10,DC 110,0.7,4,
,,,AC 500～600,4,10,DC 220,0.27,1,
