電磁開閉器,,,,短絡電流定格(SCCR)と短絡保護装置,,,,,,
"電磁開閉器
形式","電磁接触器
形式",サーマルリレー,,AC240V,,,AC240V,,,
,,形式,"ヒートエレメント定格
[A]","SCCR
[kA]",配線用遮断器 ❶,,"SCCR
[kA]",配線用遮断器 ❶,,
,,,,,"最大定格電流
[A]","UL489規格認定
富士オートブレーカ
及び漏電遮断器",,"最大定格電流
[A]","UL489規格認定
富士オートブレーカ
及び漏電遮断器",
SW40X,SC40X,TR65X,4-6,14,30,"BW100EAGU
EW100EAGU",18,30,"BW50RBGU
EW50RBGU",
,,,5-8,14,30,,18,30,,
,,,6-9,14,75,,18,50,,
,,,7-11,14,75,,18,50,,
,,,9-13,14,75,,18,50,,
,,,12-18,14,100,,18,50,,
,,,18-26,14,100,,18,50,,
,,,24-36,14,100,,18,50,,
,,,32-42,14,100,,18,50,,
SW50X,SC50X,TR65X,7-11,14,75,"BW100EAGU
EW100EAGU",18,50,"BW50RBGU
EW50RBGU",
,,,9-13,14,75,,18,50,,
,,,12-18,14,100,,18,50,,
,,,18-26,14,100,,18,50,,
,,,24-36,14,100,,18,50,,
,,,32-42,14,100,,18,50,,
,,,36-46,14,100,,18,50,,
,,,44-54,14,100,,ー,ー,,
SW65X,SC65X,TR65X,7-11,14,75,"BW100EAGU
EW100EAGU",18,50,"BW50RBGU
EW50RBGU",
,,,9-13,14,75,,18,50,,
,,,12-18,14,100,,18,50,,
,,,18-26,14,100,,18,50,,
,,,24-36,14,100,,18,50,,
,,,32-42,14,100,,18,50,,
,,,36-46,14,100,,18,50,,
,,,44-54,14,100,,ー,ー,,
,,,53-65,14,100,,ー,ー,,
ー,SC40X,ー,ー,14,100,"BW100EAGU
EW100EAGU",18,50,"BW50RBGU
EW50RBGU",
ー,SC50X,ー,ー,14,100,,18,50,,
ー,SC65X,ー,ー,14,100,,18,50,,
