電磁開閉器,,,,協調タイプ,,,,,,,
"電磁開閉器	
形式","電磁接触器	
形式",サーマルリレー,,タイプ1,,,,,,タイプ2,
,,形式,"ヒート
エレメント	
定格
〔A〕","短絡電流
Iq
〔ｋA〕",240V	（注1）,,"短絡電流
Iq
〔ｋA〕",440V,,"短絡電流
Iq
〔ｋA〕","240V,	440V"
,,,,,"富士オートブレーカ	BW□	
富士漏電遮断器	EW□",,,"富士オートブレーカ	BW□	
富士漏電遮断器	EW□",,,"ヒューズ	
(IEC60269-1	
gG/gM)	
定格〔A〕"
,,,,,形式,"定格
〔A〕",,形式,"定格
〔A〕",,
SW40X,SC40X,TR65X,4-6,50(25),"BW50RAG❶
EW50RAG❶
BW125RAG
EW125RAG",30,50(10),"BW50RAG❶
EW50RAG❶
BW125RAG
EW125RAG",30,65,25
,,,5-8,50(25),,30,50(10),,30,65,25
,,,6-9,50(25),"BW100EAG❶
EW100EAG❶
BW125RAG
EW125RAG",75,50(10),"BW100EAG❶
EW100EAG❶
BW125RAG
EW125RAG",75,65,25
,,,7-11,50(25),,75,50(10),,75,65,32
,,,9-13,50(25),,75,50(10),,75,65,32
,,,12-18,50,"BW125RAG❶
EW125RAG❶
BW250RAG
EW250RAG",150(125),50,"BW125RAG❶
EW125RAG❶
BW250RAG
EW250RAG",150(125),65,32
,,,18-26,50,,150(125),50,,150(125),65,63
,,,24-36,50,,150(125),50,,150(125),65,63
,,,32-42,50,,250(125),50,,250(125),65,80
SW50X,SC50X,TR65X,7-11,50(25),"BW100EAG❶
EW100EAG❶
BW125RAG
EW125RAG",75,50(10),"BW100EAG❶
EW100EAG❶
BW125RAG
EW125RAG",75,65,32
,,,9-13,50(25),,75,50(10),,75,65,32
,,,12-18,50,"BW125RAG❶
EW125RAG❶
BW250RAG
EW250RAG",150(125),50,"BW125RAG❶
EW125RAG❶
BW250RAG
EW250RAG",150(125),65,32
,,,18-26,50,,150(125),50,,150(125),65,63
,,,24-36,50,,150(125),50,,150(125),65,63
,,,32-42,50,,250(125),50,,250(125),65,80
,,,36-46,50,,250(125),50,,250(125),65,80
,,,44-54,50,,250(125),50,,250(125),65,80
SW65X,SC65X,TR65X,7-11,50(25),"BW100EAG❶
EW100EAG❶
BW125RAG
EW125RAG",75,50(10),"BW100EAG❶
EW100EAG❶
BW125RAG
EW125RAG",75,65,32
,,,9-13,50(25),,75,50(10),,75,65,32
,,,12-18,50,"BW125RAG❶
EW125RAG❶
BW250RAG
EW250RAG",150(125),50,"BW125RAG❶
EW125RAG❶
BW250RAG
EW250RAG",150(125),65,32
,,,18-26,50,,150(125),50,,150(125),65,63
,,,24-36,50,,150(125),50,,150(125),65,63
,,,32-42,50,,250(125),50,,250(125),65,80
,,,36-46,50,,250(125),50,,250(125),65,80
,,,44-54,50,,250(125),50,,250(125),65,80
,,,53-65,50,,250(125),50,,250(125),65,100
ー,SC40X,ー,ー,35(50),"BW125RAG❶
EW125RAG❶
BW250RAG
EW250RAG",250(125),35(50),"BW125RAG❶
EW125RAG❶
BW250RAG
EW250RAG",250(125),65,125
ー,SC50X,ー,ー,35(50),,250(125),35(50),,250(125),65,125
ー,SC65X,ー,ー,35(50),,250(125),35(50),,250(125),65,125
