,AC240V,,,AC480V,,,AC600V,,
,"SCCR
[kA]",配線用遮断器 ❶,,"SCCR
[kA]",配線用遮断器 ❶,,"SCCR
[kA]",配線用遮断器 ❶,限流ヒューズ ❷
,,"最大定格電流
[A]","UL489規格認定
富士オートブレーカ
及び漏電遮断器",,"最大定格電流
[A]","UL489規格認定
富士オートブレーカ
及び漏電遮断器",,"最大定格電流
[A]","最大定格電流
[A]"
,50,30,"BW125RAGU
EW125RAGU",50,30,"BW125RAGU
EW125RAGU",5,30,30
,50,30,,50,30,,5,30,30
,50,75,,50,75,,5,70,75
,50,75,,50,75,,5,70,75
,50,75,,50,75,,5,70,75
,50,150,"BW250RAGU
EW250RAGU",50,150,"BW250RAGU
EW250RAGU",5,150,150
,50,150,,50,150,,5,150,150
,50,150,,50,150,,5,150,150
,50,250,,50,250,,5,250,150
,50,75,"BW125RAGU
EW125RAGU",50,75,"BW125RAGU
EW125RAGU",5,70,75
,50,75,,50,75,,5,70,75
,50,150,"BW250RAGU
EW250RAGU",50,150,"BW250RAGU
EW250RAGU",5,150,150
,50,150,,50,150,,5,150,150
,50,150,,50,150,,5,150,150
,50,250,,50,250,,5,250,150
,50,250,,50,250,,5,250,150
,50,250,,50,250,,5,250,150
,50,75,"BW125RAGU
EW125RAGU",50,75,"BW125RAGU
EW125RAGU",5,70,75
,50,75,,50,75,,5,70,75
,50,150,"BW250RAGU
EW250RAGU",50,150,"BW250RAGU
EW250RAGU",5,150,150
,50,150,,50,150,,5,150,150
,50,150,,50,150,,5,150,150
,50,250,,50,250,,5,250,150
,50,250,,50,250,,5,250,150
,50,250,,50,250,,5,250,150
,50,250,,50,250,,5,250,150
,35/50,250/125,"BW250RAGU/
BW125RAGU
EW250RAGU/
EW125RAGU",35/50,250/125,"BW250RAGU/
BW125RAGU
EW250RAGU/
EW125RAGU",5,250,150
,35/50,250/125,,35/50,250/125,,5,250,150
,35/50,250/125,,35/50,250/125,,5,250,150
