"変圧器
容量
kVA","定格
一次
電流
A",変圧器励突例①,,,変圧器励突例②,,,変圧器励突例③,,
,,"第1波
波高値
(倍数)",形　　　名,"定格
電流
A","第1波
波高値
(倍数)",形　　　名,"定格
電流
A","第1波
波高値
(倍数)",形　　　名,"定格
電流
A"
5,13.7,25,"NF32-SV
NF50-KC
NF63-CV, NF63-SV, NF63-HV
NF63-HRV, NF125-SV, NF125-HV","20
50
20
20",26,"NF32-SV
NF50-KC
NF63-CV, NF63-SV
NF125-SV","20
50
20
20",18,"NF32-SV
NF50-KC
NF63-CV, NF63-SV
NF125-SV","20
40
20
20"
7.5,20.6,25,"NF63-CV（注1）
NF63-CV, NF63-SV, NF63-HV
NF100-KC
NF63-HRV, NF125-CV
NF125-SV, NF125-HV","30
50
75
50
50",26,"NF63-CV（注1）
NF63-CV, NF63-SV
NF125-CV, NF125-SV
NF100-KC","30
50
50
75",18,"NF32-SV, NF63-CV, NF63-SV 
NF100-KC
NF125-CV
NF125-SV","30
60
50
30"
10,27.5,24,"NF63-CV（注1）
NF63-CV, NF63-SV, NF63-HV
NF100-KC
NF125-CV（注1）
NF125-CV, NF125-SV, NF125-HV","40
60
100
50
60",26,"NF63-CV（注1）
NF63-CV, NF63-SV
NF125-CV, NF125-SV
NF100-KC","40
60
60
100",18,"NF63-CV, NF63-SV
NF125-CV
NF125-SV
NF100-KC","50
50
50
75"
15,41.2,24,"NF63-CV（注1）
NF125-CV, NF125-SV, NF125-HV","50
100",26,"NF125-CV（注1）
NF125-CV, NF125-SV","60
100",18,"NF63-CV（注1）
NF63-CV, NF63-SV
NF125-CV, NF125-SV","50
63
75"
20,55.0,20,"NF125-CV（注1）
NF125-CV, NF125-SV, NF125-HV","75
100",26,"NF125-CV（注1）
NF125-SEＶ
NF250-CV, NF250-SV","75
75
150",18,"NF125-CV（注1）
NF125-CV, NF125-SV","75
100"
30,82.5,20,"NF125-CV（注1）
NF250-CV, NF250-SV, NF250-HV
NF250-SEV, NF250-HEV","100
150
125",26,"NF250-CV, NF250-SV
NF250-SEＶ","200
125",18,"NF125-CV（注1）
NF125-SEV
NF250-CV, NF250-SV","100
100
150"
50,137,20,"NF250-SEV, NF250-HEV
NF400-CW
NF400-SW","175
350
250",23,"NF400-CW
NF400-SW
NF400-SEW","400
300
200",16,"NF250-CV, NF250-SV
NF250-SEV","200
175"
75,206,21,"NF400-SW
NF400-SEW, NF400-HEW","400
250",18,"NF400-SW
NF400-SEW","350
250",14,"NF250-SEV
NF400-SW
NF400-SEW","250
300
250"
100,275,21,"NF400-SEW（注1）
NF630-SW
NF630-SEW, NF630-HEW","350
600
350",17,NF400-SEW,350,13,"NF400-SW
NF400-SEW","350
350"
150,412,17,"NF630-SEW, NF630-HEW",500,14,"NF630-SW
NF630-SEW","600
500",13,"NF630-SW
NF630-SEW","500
500"
200,550,16,NF800-SEW（注1）,700,13,NF800-SEW,700,12,NF800-SEW,700
300,825,16,NF1600-SEW,1000,13,NF1250-SEW,1000,12,NF1000-SEW,1000
500,1375,−,−,−,11,NF1600-SEW,1600,11,NF1600-SEW,1600
