"電動機 kW
の合計
（kW以下）","最大
使用電流
（A以下）","電動機中最大のもの（kW）：電動機容量
（A）：全負荷電流",,,,,,,,,,,,,,,,,
,,"0.75
1.8","1.5
3.2","2.2
4.7","3.7
7.5","5.5
11.2","7.5
14.6","11
20.8","15
28.6","18.5
34.1","22
40.7","30
55","37
68","45
83.5","55
101","75
132","90
160","110
196","132
238"
3,7.5,15,15,15,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
4.5,10,15,15,15,20,－,－,－,－,－,－,－,－,－,－,－,－,－,－
6.3,15,20,20,20,30,30,－,－,－,－,－,－,－,－,－,－,－,－,－
8.2,20,30,30,30,30,40,40,－,－,－,－,－,－,－,－,－,－,－,－
12,25,30,30,30,30,40,40,－,－,－,－,－,－,－,－,－,－,－,－
15.7,38,50,50,50,50,50,50,60,75,－,－,－,－,－,－,－,－,－,－
19.5,45,50,50,50,50,50,50,60,75,100,－,－,－,－,－,－,－,－,－
23.2,50,60,60,60,60,60,60,60,75,100,100,－,－,－,－,－,－,－,－
30,63,75,75,75,75,75,75,75,75,100,100,－,－,－,－,－,－,－,－
37.5,75,100,100,100,100,100,100,100,100,100,125,125,－,－,－,－,－,－,－
45,88,100,100,100,100,100,100,100,100,100,125,125,125,－,－,－,－,－,－
52.5,100,125,125,125,125,125,125,125,125,125,125,125,125,150,－,－,－,－,－
63.7,125,150,150,150,150,150,150,150,150,150,150,150,150,150,200,－,－,－,－
75,150,175,175,175,175,175,175,175,175,175,175,175,175,175,200,－,－,－,－
86.2,175,200,200,200,200,200,200,200,200,200,200,200,200,200,200,350,－,－,－
97.5,200,225,225,225,225,225,225,225,225,225,225,225,225,225,225,350,400,－,－
112.5,225,250,250,250,250,250,250,250,250,250,250,250,250,250,300,350,400,－,－
125,250,300,300,300,300,300,300,300,300,300,300,300,300,300,300,350,400,500,－
150,300,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,400,500,600
175,350,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,500,500,600
200,400,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,600
250,500,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
300,600,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700
350,700,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800
400,800,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
450,900,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
500,1000,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
