仕様,シリーズ,形名＆必須指定記号,,,北米安全認証マーク,,,,,,強制製品認証マーク,,,,,第三者認証マーク
,,,,,UL規格,,,,CSA規格,,"電気用品
安全法","CCC
認証","CE
マーキング","UKCA
マーキング","韓国電気機
器安全認証",TÜV Rheinland
,,,,,アメリカ,,,,カナダ,,日本,中国,ヨーロッパ,イギリス,韓国,ドイツ
,,,,,,,,,,,"PS
E",,,,,
,,,表示マーク,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
一般品,CP,"CP30-BA, CP30-HU",,,−,−,●,−,,−,●,"●
（GB/T  17701）
（注 2）
（注 4）
（注 6）","●
（EN 60934）
（注 4）（注 6）
●
（EN 60947-2）
 （自己宣言）
●
（EN 60947-3）
（注 3）","●
（EN 60934）
（自己宣言）（注4）（注6）
●
（EN 60947-2）
 （自己宣言）
●
（EN 60947-3）
（自己宣言）（注3）","●（注 1）
　（注 5）
　（注 6）","△（EN 60934）
（注 4）（注 6）
△（EN 60947-3）
（注 3）"
