"バックアップ
遮断器
単体遮断容量
被バックアップ
遮断器",,,NF-S/R・NV-S/R,,,,,,,,,,,,,,,NF-C・NV-C,,,,NF-R/U,,,,,,
,,,"NF125-SV
NV125-SV","NF125-HV
NV125-HV","NF250-SV
NV250-SV","NF250-HV
NV250-HV","NF400-SW
NV400-SW","NF400-HEW
NV400-HEW","NF400-REW
NV400-REW","NF630-SW
NV630-SW","NF630-HEW
NV630-HEW",NF630-REW,"NF800-SEW
NV800-SEW","NF800-HEW
NV800-HEW",NF800-REW,"NF1000-SEW, NF1250-SEW
NF1600-SEW","NV1000-SB
NV1200-SB","NF250-CV
NV250-CV","NF400-CW
NV400-CW","NF630-CW
NV630-CW",NF800-CEW,NF125-RV,NF125-UV,NF250-RV,NF250-UV,NF400-UEW,NF800-UEW,NF1200-UR
,,,30,50,36,70,45,70,125,50,70,125,50,70,125,85,85,25,36,36,36,150,200,150,200,200,200,125
"NF
｜S･N
F｜H･N
V｜S･N
V｜H",NF32-SV,2.5,10,14,5,5,,,,,,,,,,,,,,,,35,125,35,50,,,
,NV32-SV,5,14,14,10,10,"− 7
.5","− 7
.5","− 7
.5","− 7
.5","− 7
.5","− 7
.5",− − 1,− − 1,− − 1,,− − 1,,− − 1,− − 1,,50,125,35,50,− − 1,− − 1,
,NF63-SV,7.5,14,20,15,10,15,10,10,10,10,10,,,,− − − −,,5 − − −,0,0,− − − −,50,125,50,50,,,− − − −
,NV63-SV,7.5,14,20,10,10,−,−,−,−,−,−,0 −,0 −,0 −,,0 −,,10,10,,50,125,50,50,0 −,0 −,
,"NF63-HV
NV63-HV",10,20,30,18,−,15,15,15,14,14,14,−,−,−,−,−,−,−,−,−,125,125,50,50,−,−,−
,NF63-HRV,30,−,50,−,42,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,125,200,125,200,200,85,−
,"NF125-SV
NV125-SV",30,−,50,−,42,35,35,35,35,35,35,−,35,35,−,−,−,−,−,−,125,200,125,200,50,35,−
,"NF125-HV
NV125-HV",50,−,−,−,−,−,65,65,−,65,65,−,65,65,−,−,−,−,−,−,125,200,125,200,200,85,65
,"NF250-SV
NV250-SV",36,−,−,−,−,35,50,50,35,50,50,35,50,50,−,−,−,−,−,−,−,−,125,200,85,85,−
,"NF250-HV
NV250-HV",70,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,125,200,200,200,−
,"NF400-SW
NV400-SW",45,−,−,−,−,−,65,65,−,65,65,−,65,65,−,−,−,−,−,−,−,−,−,−,200,200,−
,"NF400-SEW
NV400-SEW",50,,,,,,,,,,,,,,,,,,,,,,,,,,
,"NF630-SW
NF630-SEW
NV630-SW
NV630-SEW",50,−,−,−,−,−,−,−,−,65,65,−,65,65,−,−,−,−,−,−,−,−,−,−,−,200,−
"NF
｜C・N
V｜C","NF63-CV
NV63-CV",2.5,10,14,5,5,−,−,−,−,−,−,−,−,−,−,−,5,−,−,−,35,125,35,50,5,−,−
,"NF125-CV
NV125-CV",10,20,30,14,14,14,14,14,14,14,14,14,14,14,−,14,−,14,14,14,125,200,50,125,14,14,−
,"NF250-CV
NV250-CV",25,−,−,−,−,30,30,30,−,−,−,−,−,−,−,−,−,−,−,−,−,−,125,200,50,−,−
,"NF400-CW
NV400-CW",36,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,50,50,−
,"NF630-CW
NV630-CW",36,−,−,−,−,−,−,−,42,50,50,42,50,50,42,42,−,−,−,−,−,−,−,−,−,200,42
"BH
･
KC","240V以下
BH-K
BH-P",2.5,18,30,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,125,200,−,−,−,−,−
,"BH-K (注1)
BH-K100",2.5,5,5,5,5,−,−,−,−,−,−,−,−,−,−,−,5,−,−,−,125,200,−,−,−,−,−
,"NF30-KC
NF50-KC",1.5,5,5,5,5,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−
