"変圧器
容量
kVA","定格
一次
電流
A",変圧器励突例①,,,変圧器励突例②,,,変圧器励突例③,,
,,"第1波
波高値
(倍数)",形　　　名,"定格
電流
A","第1波
波高値
(倍数)",形　　　名,"定格
電流
A","第1波
波高値
(倍数)",形　　　名,"定格
電流
A"
5,23.8,45,"NV125-CV, NV125-SV, NV125-HV
NV125-SEV, NV125-HEV","100
50",37,"NV125-CV, NV125-SV
NV125-SEV","75
50",24,"NV63-CV, NV63-SV
NV100-KC
NV125-CV
NV125-SV
NV125-SEV","50
100
60
50
50"
7.5,35.7,45,"NV250-CV, NV250-SV, NV250-HV
NV250-SEV, NV250-HEV","150
125",37,"NV125-SEV
NV250-CV, NV250-SV","50
125",24,"NV125-CV, NV125-SV
NV125-SEV","75
50"
10,47.6,43,"NV250-CV, NV250-SV, NV250-HV
NV250-SEV, NV250-HEV","200
125",37,"NV250-CV, NV250-SV
NV250-SEV","175
125",24,"NV125-CV, NV125-SV
NV125-SEV
NV250-CV, NV250-SV","100
60
125"
15,71.4,43,"NV400-CW
NV400-SW
NV400-SEW, NＶ400-HEW","400
300
200",35,"NV250-CV, NV250-SV
NV250-SEV","225
125",23,"NV250-CV, NV250-SV
NV250-SEV","150
125"
20,95.2,43,"NV400-SW
NV400-SEW, NV400-HEW","400
200",35,"NV400-SW
NV400-SEW","300
200",23,"NV250-CV, NV250-SV
NV250-SEV","200
125"
30,143,37,"NV400-SEW, NV400-HEW
NV630-SEW","200
300",34,NV400-SEW,200,23,"NV400-SW
NV400-SEW","300
200"
50,238,35,,,34,,,23,"NV630-SEW
NV800-SEW","300
400"
75,357,30,,,29,,,22,NV630-SEW,400
100,476,27,,,28,,,20,,
150,714,24,− − − − − − −,− − − − − − −,24,− − − − − − −,− − − − − − −,19,,
200,952,21,,,22,,,19,− − − − −,− − − − −
300,1429,17,,,18,,,16,,
500,2381,−,,,17,,,−,,
