"主回路遮断器
単体遮断容量
分岐回路遮断器",,,電　子　式　NFB,,,,,,,
,,,"NF125-SEV
NF125-HEV","NF250-SEV
NF250-HEV",NF400-SEW,NF630-SEW,"NF800-CEW
NF800-SEW",,NF1000-SEW NF1250-SEW NF1600-SEW,
,,,100（注1）,100（注1）,85,85,85（注2）,125,125,125
"NF
│S・H・N
V│S・H",NF32-SV,7.5,1.5,2.5,7.5,7.5,7.5,7.5,7.5,7.5
,NV32-SV,10,1.5,2.5,10,10,10,10,10,10
,"NF63-SV 
NV63-SV",15,1.5,2.5,10,10,10,10,10,10
,"NF63-HV 
NV63-HV",25,1.5,2.5,10,20,25,25,25,25
,NF63-HRV,85,－,2.5,10,20,65,65,65,85
,"NF125-SV 
NF125-SEV 
NV125-SV 
NV125-SEV","50
（注5）",－,2.5,7.5,15,18,18,18,50
,"NF125-HV 
NV125-HV",100,－,2.5,10,25,35,35,35,100
,"NF250-SV 
NF250-SEV 
NV250-SV 
NV250-SEV",85,－,－,－,10,10,10,10,50
,"NF250-HV 
NF250-HEV 
NV250-HV 
NV250-HEV",100,－,－,－,10,10,10,10,50
,"NF400-SW 
NV400-SW",85,－,－,－,－,13,13,13,20
,"NF400-SEW 
NV400-SEW",85,－,－,－,－,8,10,10,18
,"NF630-SW 
NF630-SEW 
NV630-SW 
NV630-SEW",85,－,－,－,－,－,－,－,15
"NF
│C・N
V│C","NF63-CV 
NV63-CV",7.5,1.5,2.5,7.5,7.5,7.5,7.5,7.5,7.5
,"NF125-CV 
NV125-CV",30,－,2.5,7.5,10,15,15,15,25
,"NF250-CV 
NV250-CV",36,－,－,－,7.5,7.5,7.5,7.5,25
,"NF400-CW 
NV400-CW",50,－,－,－,－,13,13,13,20
,"NF630-CW 
NV630-CW",50,－,－,－,－,－,－,－,20
"NF
│U",NF125-RV,150,－,2.5,22,65,85,85,85,125
,NF125-UV,200,－,2.5,22,65,85,85,85,125
,NF250-RV,150,－,－,－,－,50,50,50,125
,NF250-UV,200,－,－,－,－,50,50,50,125
,NF400-UEW,200,－,－,－,－,15,15,15,25
,NF800-UEW,200,－,－,－,－,－,－,－,－
"BH
・N
F│K
C・N
V│K
C","BH-K（注1） 
BH-P 
BH-C1, BH-C2 
BV-C1, BV-C2",2.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
,"NF30-KC 
NF50-KC 
NF100-KC 
MB30-KC 
MB50-KC 
NV30-KC 
NV50-KC 
NV100-KC 
MN30-KC 
MN50-KC 
BH-K（注2） 
BH-K100",5,1.5,2.5,5,5,5,5,5,5
