"変圧器
容量
kVA","定格
一次
電流
A",変圧器励突例①,,,変圧器励突例②,,,変圧器励突例③,,
,,"第1波
波高値
(倍数)",形　　　名,"定格
電流
A","第1波
波高値
(倍数)",形　　　名,"定格
電流
A","第1波
波高値
(倍数)",形　　　名,"定格
電流
A"
5,6.9,32,"NF32-SV
NF50-KC
NF63-CV, NF63-SV, NF63-HV
NF63-HRV, NF125-SV, NF125-HV","10
40
10
15",26,"NF30-KC, NF50-KC
NF32-SV, NF63-CV, NF63-SV","30
10",18,"NF30-KC, NF50-KC
NF32-SV, NF63-CV, NF63-SV
NF125-SV","20
10
15"
7.5,10.3,32,"NF32-SV
NF50-KC
NF63-CＶ, NF63-SＶ, NF63-HＶ
NF63-HRV, NF125-SV, NF125-HV","15
50
15
15",26,"NF32-SV
NF50-KC
NF63-CV, NF63-SV
NF125-SV","15
40
15
15",18,"NF30-KC, NF50-KC
NF32-SV, NF63-CV, NF63-SV
NF125-SV","30
15
15"
10,13.7,31,"NF32-SV
NF63-CＶ, NF63-SＶ, NF63-HＶ
NF100-KC
NF125-CV
NF63-HRV, NF125-SV, NF125-HV","20
20
60
50
20",26,"NF32-SV
NF50-KC
NF63-CＶ, NF63-SV
NF125-SV","20
50
20
20",18,"NF32-SV
NF50-KC
NF63-CV, NF63-SV
NF125-SV","20
40
20
20"
15,20.6,31,"NF63-CV（注1）
NF63-CＶ, NF63-SＶ, NF63-HＶ
NF100-KC
NF125-CV, NF125-SV, NF125-HV
NF125-SEV, NF125-HEV","40
60
100
60
50",26,"NF63-CV（注1）
NF63-CV, NF63-SV
NF100-KC
NF125-CV, NF125-SV","30
50
75
50",18,"NF32-SV, NF63-CV, NF63-SV
NF100-KC
NF125-CV
NF125-SV","30
60
50
30"
20,27.5,26,"NF63-CV（注1）
NF63-CＶ, NF63-SＶ, NF63-HＶ
NF100-KC
NF125-CV（注1）
NF125-CV, NF125-SV, NF125-HV","40
60
100
50
60",26,"NF63-CV（注1）
NF63-CV, NF63-SV
NF100-KC
NF125-CV（注1）
NF125-CV, NF125-SV","40
60
100
50
60",18,"NF63-CV（注1）
NF63-CV, NF63-SV
NF100-KC
NF125-CV, NF125-SV","40
50
75
50"
30,41.2,24,"NF63-CV（注1）
NF125-CV（注1）
NF125-CV, NF125-SV, NF125-HV","50
50
100",26,"NF125-CV（注1）
NF125-CV, NF125-SV","60
100",18,"NF63-CV（注1）
NF63-CV, NF63-SV
NF125-CV, NF125-SV","50
63
75"
50,68.7,22,"NF125-CV（注1）
NF250-CV, NF250-SV, NF250-HV
NF250-SEV, NF250-HEV","100
150
125",23,"NF125-CV（注1）
NF250-CV, NF250-SV","100
150",16,"NF125-CV, NF125-SV",100
75,103,15,"NF250-CV, NF250-SV, NF250-HV
NF250-SEV, NF250-HEV","150
125",18,"NF250-CV, NF250-SV
NF250-SEV","175
125",14,"NF125-SEV
NF250-CV, NF250-SV","125
150"
100,137,15,"NF250-CV, NF250-SV, NF250-HV
NF250-SEV, NF250-HEV","200
175",17,"NF250-CV, NF250-SV
NF250-SEV","225
175",13,"NF250-CV, NF250-SV",175
150,206,15,"NF400-CW
NF400-SW
NF400-SEW, NF400-HEW","400
300
250",14,"NF250-SEV
NF400-CW
NF400-SW
NF400-SEW","250
400
300
250",13,"NF250-SEV
NF400-CW
NF400-SW
NF400-SEW","250
350
250
250"
200,275,14,"NF400-SW
NF400-SEW, NF400-HEW","350
350",13,"NF400-SW
NF400-SEW","350
350",12,"NF400-SW
NF400-SEW","350
350"
300,412,10,"NF630-CW
NF630-SW
NF630-SEW, NF630-HEW","600
500
500",13,NF630-SEW,500,12,"NF630-CW
NF630-SW
NF630-SEW","630
500
500"
500,687,15,"NF800-SEW（注1）
NF1250-SEW","800
800",11,NF800-SEW,800,11,NF800-SEW,800
