"変圧器
容量
kVA","定格
一次
電流
A",変圧器励突例①,,,変圧器励突例②,,,変圧器励突例③,,
,,"第1波
波高値
(倍数)",形　　　名,"定格
電流
A","第1波
波高値
(倍数)",形　　　名,"定格
電流
A","第1波
波高値
(倍数)",形　　　名,"定格
電流
A"
5,13.7,25,"NV32-SV
NV50-KC
NV63-CV, NV63-SV, NV63-HV
NV125-SV, NV125-HV","20
50
20
20",26,"NV32-SV
NV50-KC
NV63-CV, NV63-SV
NV125-SV","20
50
20
20",18,"NV32-SV
NV50-KC
NV63-CV, NV63-SV
NV125-SV","20
40
20
20"
7.5,20.6,25,"NV63-CV, NV63-SV, NV63-HV
NV100-KC
NV125-CV
NV125-SV, NV125-HV","50
75
60
50",26,"NV63-CV, NV63-SV
NV100-KC
NV125-CV
NV125-SV","50
75
60
50",18,"NV32-SV
NV63-CV, NV63-SV
NV100-KC
NV125-SV","30
30
60
30"
10,27.5,24,"NV63-CV, NV63-SV, NV63-HV
NV100-KC
NV125-CV, NV125-SV, NV125-HV","60
100
60",26,"NV63-CV, NV63-SV
NV100-KC
NV125-CV, NV125-SV","60
100
60",18,"NV63-CV, NV63-SV
NV100-KC
NV125-CV
NV125-SV","50
75
60
50"
15,41.2,24,"NV125-CV, NV125-SV, NV125-HV
NV125-SEV, NV125-HEV","100
50",26,"NV125-CV, NV125-SV
NV125-SEV","100
50",18,"NV63-CV, NV63-SV
NV125-CV, NV125-SV","63
75"
20,55.0,20,"NV125-CV, NV125-SV, NV125-HV
NV125-SEV, NV125-HEV","100
75",26,"NV125-SEV
NV250-CV, NV250-SV","75
150",18,"NV125-CV, NV125-SV
NV125-SEV","100
75"
30,82.5,20,"NV250-CV, NV250-SV, NV250-HV
NV250-SEV, NV250-HEV","150
125",26,"NV250-CV, NV250-SV
NV250-SEV","200
125",18,"NV125-SEV
NV250-CV, NV250-SV","100
150"
50,137,20,"NV250-SEV, NV250-HEV
NV400-CW
NV400-SW","175
350
250",23,"NV400-CW
NV400-SW
NV400-SEW","400
300
200",16,"NV250-CV, NV250-SV
NV250-SEV","200
175"
75,206,21,"NV400-SW
NV400-SEW, NV400-HEW","400
250",18,"NV400-SW
NV400-SEW","350
250",14,"NV250-SEV
NV400-SW
NV400-SEW","250
300
250"
100,275,21,"NV630-SEW, NV630-HEW
NV800-SEW, NV800-HEW","350
400",17,NV400-SEW,350,13,"NV400-SW
NV400-SEW","350
350"
150,412,17,"NV630-SEW, NV630-HEW
NV1000-SB","500
1000",14,"NV630-SEW
NV800-SEW","500
500",13,"NV630-SEW
NV800-SEW","500
500"
200,550,16,,,13,NV1000-SB,1000,12,NV800-SEW,700
300,825,16,− − −,− − −,13,,,12,,
500,1375,−,,,11,− −,− −,11,− −,− −
