"変圧器
容量
kVA","定格
一次
電流
A",変圧器励突例①,,,変圧器励突例②,,,変圧器励突例③,,
,,"第1波
波高値
(倍数)",形　　　名,"定格
電流
A","第1波
波高値
(倍数)",形　　　名,"定格
電流
A","第1波
波高値
(倍数)",形　　　名,"定格
電流
A"
5,11.9,45,"NV63-CV, NV63-SV, NV63-HV
NV125-CV
NV125-SV, NV125-HV","50
60
50",37,"NV32-SV
NV63-CV, NV63-SV
NV125-SV","15
15
15",24,"NV32-SV
NV63-CV, NV63-SV
NV125-SV","15
15
15"
7.5,17.9,45,"NV125-CV, NV125-SV, NV125-HV",75,37,"NV63-CV, NV63-SV
NV125-CV, NV125-SV","60
60",24,"NV32-SV
NV63-CV, NV63-SV
NV125-SV","20
20
20"
10,23.8,43,"NV125-CV, NV125-SV, NV125-HV
NV125-SEV, NV125-HEV","100
50",37,"NV125-CV, NV125-SV
NV125-SEV","75
50",24,"NV63-CV, NV63-SV
NV125-CV
NV125-SV","50
60
50"
15,35.7,43,"NV250-CV, NV250-SV, NV250-HV
NV250-SEV, NV250-HEV","150
125",35,NV125-SEV,50,23,"NV125-CV, NF125-SV
NV125-SEV","75
50"
20,47.6,43,"NV250-CV, NV250-SV, NV250-HV
NV250-SEV, NV250-HEV","200
125",35,"NV250-CV, NV250-SV
NV250-SEV","150
125",23,"NV125-CV, NF125-SV
NV125-SEV","100
60"
30,71.4,37,"NV250-SEV, NV250-HEV
NV400-CW
NV400-SW","125
350
250",34,"NV250-CV, NV250-SV
NV250-SEV","225
125",23,"NV250-CV, NV250-SV
NV250-SEV","150
125"
50,119,35,"NV400-SW
NV400-SEW, NV400-HEW","400
200",34,"NV400-SW
NV400-SEW","400
200",23,NV250-SEV,150
75,179,30,"NV400-SEW, NV400-HEW
NV630-SEW, NV630-HEW","200
300",29,NV400-SEW,200,22,"NV400-SW
NV400-SEW","400
200"
100,238,27,"NV630-SEW, NV630-HEW
NV800-SEW, NV800-HEW","300
400",28,"NV630-SEW
NV800-SEW","300
400",20,NV400-SEW,300
150,357,24,,,24,,,19,"NV630-SEW
NV800-SEW","400
400"
200,476,21,− − − −,− − − −,22,− − − −,− − − −,19,,
300,714,17,,,18,,,16,− − −,− − −
500,1190,−,,,17,,,−,,
