"変圧器
容量
kVA","定格
一次
電流
A",変圧器励突例①,,,変圧器励突例②,,,変圧器励突例③,,
,,"第1波
波高値
(倍数)",形　　　名,"定格
電流
A","第1波
波高値
(倍数)",形　　　名,"定格
電流
A","第1波
波高値
(倍数)",形　　　名,"定格
電流
A"
5,6.9,32,"NV32-SV
NV63-CV, NV63-SV
NV63-HV
NV125-SV, NV125-HV","10
10
15
15",26,"NV32-SV
NV63-CV, NV63-SV
NV125-SV","10
10
15",18,"NV32-SV
NV63-CV, NV63-SV
NV125-SV","10
10
15"
7.5,10.3,32,"NV32-SV
NV63-CV, NV63-SV, NV63-HV
NV125-SV, NV125-HV","15
15
15",26,"NV32-SV
NV63-CV, NV63-SV
NV125-SV","15
15
15",18,"NV32-SV
NV63-CV, NV63-SV
NV125-SV","15
15
15"
10,13.7,31,"NV32-SV
NV63-CV, NV63-SV, NV63-HV
NV125-CV
NV125-SV, NV125-HV","20
20
60
20",26,"NV32-SV
NV63-CV, NV63-SV
NV125-SV","20
20
20",18,"NV32-SV
NV63-CV, NV63-SV
NV125-SV","20
20
20"
15,20.6,31,"NV63-CV, NV63-SV, NV63-HV
NV125-CV, NV125-SV, NV125-HV
NV125-SEV, NV125-HEV","60
60
50",26,"NV63-CV, NV63-SV
NV125-CV
NV125-SV","50
60
50",18,"NV32-SV
NV63-CV, NV63-SV
NV125-SV","30
30
30"
20,27.5,26,"NV63-CV, NV63-SV, NV63-HV
NV125-CV, NV125-SV, NV125-HV","60
60",26,"NV63-CV, NV63-SV
NV125-CV, NV125-SV","60
60",18,"NV63-CV, NV63-SV
NV125-CV
NV125-SV","50
60
50"
30,41.2,24,"NV125-CV, NV125-SV, NV125-HV
NV125-SEV, NV125-HEV","100
50",26,"NV125-CV, NV125-SV
NV125-SEＶ","100
50",18,"NV63-CV, NV63-SV
NV125-CV, NV125-SV","63
75"
50,68.7,22,"NV250-CV, NV250-SV, NV250-HV
NV250-SEV, NV250-HEV","150
125",23,"NV250-CV, NV250-SV
NV250-SEV","150
125",16,"NV125-CV, NV125-SV",100
75,103,15,"NV250-CV, NV250-SV, NV250-HV
NV250-SEV, NV250-HEV","150
125",18,"NV250-CV, NV250-SV
NV250-SEV","175
125",14,"NV125- SEV
NV250-CV, NV250-SV","125
150"
100,137,15,"NV250-CV, NV250-SV, NV250-HV
NV250-SEV, NV250-HEV","200
175",17,"NV250-CV, NV250-SV
NV250-SEV","225
175",13,"NV250-CV, NV250-SV",175
150,206,15,"NV400-CW
NV400-SW
NV400-SEW, NV400-HEW","400
300
250",14,"NV250-SEV
NV400-CW
NV400-SW
NV400-SEW","250
400
300
250",13,"NV250-SEV
NV400-CW
NV400-SW
NV400-SEW","250
350
250
250"
200,275,14,"NV400-SW
NV400-SEW, NV400-HEW","350
350",13,"NV400-SW
NV400-SEW","350
350",12,"NV400-SW
NV400-SEW","350
350"
300,412,10,"NV630-CW, NV630-SW
NV630-SEW, NV630-HEW","600
500",13,"NV630-SEW
NV800-SEW","500
500",12,"NV630-CW, NV630-SW
NV630-SEW","630
500"
500,687,15,−,−,11,−,−,11,−,−
