法  規,"対地電圧
使用電圧
設備機器と環境",,,150V以下,,,150V超過,
,,,,60V以下,100V,"単3,200V",200V,415V
"電
　気
　設
　備
　技
　術
　基
　準
　の
　解
　釈
　H
23年
10月","金属製外箱を有する機器
（第36条）","人が容易にふ
れるおそれが
ある場所",1．水気がある場所,,,,,
,,,2．湿気の多い場所,,,,,
,,,3．乾燥した場所   注（2）,,,,,
,,4．機械器具を発・変電所・開閉所及びこれに準ずる場所に施設する場合,,,,,,
,,5．機械器具内に電気用品適用のNVを施設し，引出部を補強した場合,,,,,,
,,6．接地抵抗値が3Ω以下の場合,,,,,,
,,7．電気用品適用の2重絶縁構造の機器,,,,,,
,,8．絶縁変圧器を使用した非接地回路,,,,,,
,,9．ゴム，合成樹脂などの絶縁物で被覆した機器,,× × × × × × × × × × × × − ● ● ● ●,,,,
,,10．誘導電動機の二次側に接続される機器,,,,,,
,,11．電気浴器・電気炉・電気ボイラ，電解そうなど,,,,,,
,12．特高・高圧電路に変圧器によって結合される低圧電路（発・変電所の電路を除く）（第36条）,,,,● × × × × × × × × × × × − ● ● ● ● × ● ● ● ●,● × × × × × × × × × × × − ● ● ● − × ● ● ● ●,● ● × × × × × × × × × × ● − ● ● − × ● ● ● −,● ● ● × − ● − ● ● × × ● ● − ● ● − ● ● − − −
,13．住宅屋内で対地電圧150Vをこえる電路に施設する2kW以上の機器（第143条）,,,,,,,
,14．火薬庫内に施設する機器（第178条）,,,,,,,
,15．フロアヒーティング，パイプラインなどの電熱装置（第195条），（第197条）,,,,,,,
,16．電気温床などの施設（第196条）,,,,,,,
,17．プール用水中照明灯などの施設（第187条）,,,（30V以下×）,,,,
,18．地上に施設する電路で電線がキャブタイヤケーブルである場合（第128条）,,,,,,,
,19．接地工事が困難な場所（第17条・24条・29条）   注（1）,,,,,,,
,20．コンクリート埋設の臨時配線（第180条）,,,× ● ● ● ●,,,,
,21．人が容易に触れるおそれのあるライティングダクト電路（第165条）,,,,,,,
,22．平形保護層配線電路（第165条）,,,,,,,
