"UL
ブレーカ","UL 489
Listed",NF50-SMU,,,,,,,,,,,●（自己宣言）,●（自己宣言）,,
,,NF100-SRU,,,,,,,,,,,,●（自己宣言）,,
,,NF100-HRU,,,,,,,,,,,,●（自己宣言）,,
,,NF50-SVFU,,,,,,,,,,,,●（自己宣言）,,
,,NF100-CVFU,,,,,,,,,,● ● ● ● ● ● ● ● ● ● ● ●,,●（自己宣言）,,
,,"NF125-SVU, NF125-HVU",,,,,,,,,"●
（125A除く）",,,●（自己宣言）,,
,,"NF250-CVU, NF250-SVU, NF250-HVU",,,,,,,,,,,● ● ● ● ● ● ● ● ●,●（自己宣言）,,
,,"NF400-SWU, NF400-HWU
NF630-SWU, NF630-HWU",,,,,,,,,− − ● ●,,,●（自己宣言）,（NF400-SWUのみ）,
,"UL 1077
Recognized","NF30-FAU, NF50-FAU",,,,,,,,,,,,●（自己宣言）,,
,,"NF50-FHU, NF100-FHU",,,,,,,,,,,,●（自己宣言）,● ●,
