仕様,クラス,形名＆必須指定記号,,,北米安全認証マーク,,,,,,強制製品認証マーク,,,,,第三者認証マーク
,,,,,UL規格,,,,CSA規格,,"電気用品
安全法","CCC
認証","CE
マーキング","UKCA
マーキング","韓国電気機器
安全認証（注1）","TÜV
Rheinland"
,,,,,アメリカ,,,,カナダ,,日本,中国,ヨーロッパ,イギリス,韓国,ドイツ
,,,,,,,,,,,"PS
E",,,,,
,,,表示マーク,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
F Style,C S,NV32-CVF,,,,,,,,,●,,,,,
,,"NV63-CVF, NV125-CVF",,,,,,,,,●（125A除く）,,,,,
,,"NV32-SVF, NV63-SVF, NV125-SVF",,,,,,,,,"●
（125A除く）",,,,− ● ● ● ●,
国内一般品,C,"NV63-CV, NV125-CV",,,,,,,,,"●
（125A除く）",,,,,
,,NV250-CV,,,,,,,,,,,,,,
,,"NV400-CW, NV630-CW",,,,,,,,,− −,,,,●（NV400-CWのみ）,
,S,"NV32-SV, NV63-SV, NV125-SV",,,,,,,,,●（125A除く）,,,,,
,,NV125-SEV,,,,,,,,,"●
（125A除く）",,,,,
,,NV250-SV,,,,,,,,,,,,,● − ● − ●,
,,NV250-SEV,,,,,,,,,− − −,,,,,
,,"NV400-SW, NV630-SW, NF400-SEW
NF630-SEW, NV800-SEW",,,,,,,,,,,,,（NV400-SWのみ）,
,H/R,"NV63-HV, NV125-HV",,,,,,,,,●（125A除く）,,,,,
,,NV125-HEV,,,,,,,,,"●
（125A除く）",− − − − − − − − − − −  − − − − − − − − − − −,− − − − − − − − − − −  − − − − − − − − − − −,− − − − − − − − − − −  − − − − − − − − − − −,,− − − − − − − − − − −  − − − − − − − − − − −
,,NV250-HV,,,,,,,,,,,,,● − ● − −,
,,NV250-HEV,,,,,,,,,,,,,,
,,"NV400-HEW, NV400-REW
NV630-HEW, NV800-HEW",,,,,,,,,,,,,,
,KC,"NV30-KC, NV50-KC, NV100-KC",,,,,,,,,,,,,"（NV100-KC除く）
●",
,FA,"NV30-FA, NV50-FA",,,,,,,,,,,,,,
,"モータ
ブレーカ","NV63-SVF MB, NV63-CV MB
NV63-SV MB, NV125-SV MB",,,,,,,,,− − − ● ● ● − ● − ● ●,,,,,
,,NV250-SV MB,,,,,,,,,,,,,,
,,"NV63-CV PR, NV63-SV PR
NV125-SV PR",,,,,,,,,,,,,,
