変圧器容量 kVA,,30以下,,50〜100,,150〜300,,,500〜1000,,,,1500〜2000,,,2500〜5000
"遮断容量 kA
(sym)",,"1.5
2.5
5
7.5
10
15
20
25
30
36
42
50
65
85
125",,,,,,,,,,,,,,
フレーム A,30・32,"NV32-SVF
NV32-SV",,,,,,,,,,,,,,
,50・60・63,"NV63-CV
NV63-SV
NV63-CVF
NV63-SVF",,,,NV63-HV,,,,,,,,,,
,100・125,"NV125-CV
NV125-CVF",,,,,NV125-SV,,,NV125-HV,,,,,,
,,,,,,,NV125-SVF,,NV125-SEV,,,NV125-HEV,,,,
,225・250,NV250-CV,,,,,,"NV250-SV
NV250-SEV",,,,"NV250-HV
NV250-HEV",,,,
,400,NV400-CW,,,,,,,,NV400-SW/SEW,,,NV400-HEW,,NV400-REW,
,600・630,NV630-CW,,,,,,,,,,NV630-SW/SEW,NV630-HEW,,,
,800,NV800-SEW,,,,,,,,,,,NV800-HEW,,,
,1000,NV1000-SB（注1）,,,,,,,,,,,,,,
,1200,NV1200-SB（注1）,,,,,,,,,,,,,,
